created_at,full_text,location,mentions,tokens,stemmed_tokens,clean_text
Tue Sep 17 23:42:19 +0000 2024,Dikira rakyat bodoh semua ya Gak semua rakyat cengarcengir kyk Bapakmu mungkin bisa membodohi golongan Usut tuntas semua kejahatan KKN Gratifikasi keluarga Mulyono Fufufafa Blok Medan TangkapJokowi TangkapKaesang FafafufuBocilPsikopat,Sundaland,"['@Rexthatch', '@kaesangp', '@kikysaputrii']","['rakyat', 'bodoh', 'ya', 'Gak', 'rakyat', 'cengarcengir', 'kyk', 'Bapakmu', 'membodohi', 'golongan', 'Usut', 'tuntas', 'kejahatan', 'KKN', 'Gratifikasi', 'keluarga', 'Mulyono', 'Fufufafa', 'Blok', 'Medan', 'TangkapJokowi', 'TangkapKaesang', 'FafafufuBocilPsikopat']","['rakyat', 'bodoh', 'ya', 'gak', 'rakyat', 'cengarcengir', 'kyk', 'bapak', 'bodoh', 'golong', 'usut', 'tuntas', 'jahat', 'kkn', 'gratifikasi', 'keluarga', 'mulyono', 'fufufafa', 'blok', 'medan', 'tangkapjokowi', 'tangkapkaesang', 'fafafufubocilpsikopat']",rakyat bodoh ya gak rakyat cengarcengir kyk bapak bodoh golong usut tuntas jahat kkn gratifikasi keluarga mulyono fufufafa blok medan tangkapjokowi tangkapkaesang fafafufubocilpsikopat
Tue Sep 17 23:41:30 +0000 2024,kejawen seharusnya pake ini ketika menaburkan kemenyan yg dibakar,,['@KentLavis'],"['kejawen', 'pake', 'menaburkan', 'kemenyan', 'yg', 'dibakar']","['kejawen', 'pake', 'tabur', 'kemenyan', 'yg', 'bakar']",kejawen pake tabur kemenyan yg bakar
Tue Sep 17 23:41:27 +0000 2024,Sabar bang tahun kedapan ujian makin besar kalau Prabowo sukses Lagian Prabowo sdh tahun difitnah nyantai aja sih Apalagi cuma fufufafa,,['@msaid_didu'],"['Sabar', 'bang', 'kedapan', 'ujian', 'Prabowo', 'sukses', 'Prabowo', 'sdh', 'difitnah', 'nyantai', 'aja', 'sih', 'fufufafa']","['sabar', 'bang', 'kedap', 'uji', 'prabowo', 'sukses', 'prabowo', 'sdh', 'fitnah', 'nyantai', 'aja', 'sih', 'fufufafa']",sabar bang kedap uji prabowo sukses prabowo sdh fitnah nyantai aja sih fufufafa
Tue Sep 17 23:40:51 +0000 2024,klaim mulyono ama fufufafa aja noohh,"Los Angeles, CA",['@cingreborn'],"['klaim', 'mulyono', 'ama', 'fufufafa', 'aja', 'noohh']","['klaim', 'mulyono', 'ama', 'fufufafa', 'aja', 'noohh']",klaim mulyono ama fufufafa aja noohh
Tue Sep 17 23:40:49 +0000 2024,Pagi juga eyang kakung yang kece Tks Doa yang indah smga kita sllu sehat Tidak tertular virus fufufafa hehe,Jakarta Selatan  🇲🇨,['@hansssolo'],"['Pagi', 'eyang', 'kakung', 'kece', 'Tks', 'Doa', 'indah', 'smga', 'sllu', 'sehat', 'tertular', 'virus', 'fufufafa', 'hehe']","['pagi', 'eyang', 'kakung', 'kece', 'tks', 'doa', 'indah', 'smga', 'sllu', 'sehat', 'tular', 'virus', 'fufufafa', 'hehe']",pagi eyang kakung kece tks doa indah smga sllu sehat tular virus fufufafa hehe
Tue Sep 17 23:39:51 +0000 2024,Ngapolah wong Palembang kmrn banyak milih fufufafa e,pulau rimau,['@AboutPalembang'],"['Ngapolah', 'Palembang', 'kmrn', 'milih', 'fufufafa', 'e']","['ngapolah', 'palembang', 'kmrn', 'milih', 'fufufafa', 'e']",ngapolah palembang kmrn milih fufufafa e
Tue Sep 17 23:39:50 +0000 2024,jawa lagi jawa lagi,,['@KentLavis'],"['jawa', 'jawa']","['jawa', 'jawa']",jawa jawa
Tue Sep 17 23:39:10 +0000 2024,Ini baru SLANK yang gua kenal berani ngekritik anak mulyono Anak mami berdikari Pergi pakai pesawat pribadi Berlindung dibalik papi Tiap hari party,PLUIT,[],"['SLANK', 'gua', 'kenal', 'berani', 'ngekritik', 'anak', 'mulyono', 'Anak', 'mami', 'berdikari', 'Pergi', 'pakai', 'pesawat', 'pribadi', 'Berlindung', 'dibalik', 'papi', 'party']","['slank', 'gua', 'kenal', 'berani', 'ngekritik', 'anak', 'mulyono', 'anak', 'mami', 'berdikari', 'pergi', 'pakai', 'pesawat', 'pribadi', 'lindung', 'balik', 'papi', 'party']",slank gua kenal berani ngekritik anak mulyono anak mami berdikari pergi pakai pesawat pribadi lindung balik papi party
Tue Sep 17 23:38:56 +0000 2024,Tp kata fufufafa muka lu jelek bgt,"London, England",['@geloraco'],"['Tp', 'fufufafa', 'muka', 'lu', 'jelek', 'bgt']","['tp', 'fufufafa', 'muka', 'lu', 'jelek', 'bgt']",tp fufufafa muka lu jelek bgt
Tue Sep 17 23:38:32 +0000 2024,Ini ril pabrik tempatku kerja juga pada bahas fufufafa terus pada bandingin ama dirinya umur segitu lg pd sibuknya karena bukan anak mulyono boro ngetroll,,['@BudiBukanIntel'],"['ril', 'pabrik', 'tempatku', 'kerja', 'bahas', 'fufufafa', 'bandingin', 'ama', 'umur', 'segitu', 'lg', 'pd', 'sibuknya', 'anak', 'mulyono', 'boro', 'ngetroll']","['ril', 'pabrik', 'tempat', 'kerja', 'bahas', 'fufufafa', 'bandingin', 'ama', 'umur', 'segitu', 'lg', 'pd', 'sibuk', 'anak', 'mulyono', 'boro', 'ngetroll']",ril pabrik tempat kerja bahas fufufafa bandingin ama umur segitu lg pd sibuk anak mulyono boro ngetroll
Tue Sep 17 23:38:15 +0000 2024,Kandang fufufafa,1.3.1.2°,['@MafiaWasit'],"['Kandang', 'fufufafa']","['kandang', 'fufufafa']",kandang fufufafa
Tue Sep 17 23:37:55 +0000 2024,Seruan untuk ganyang fufufafa woe Bukan membenarkan NYEPONG KONTOL PENGUASA,Meikarta,"['@choliqnur', '@PKSejahtera']","['Seruan', 'ganyang', 'fufufafa', 'woe', 'membenarkan', 'NYEPONG', 'KONTOL', 'PENGUASA']","['seru', 'ganyang', 'fufufafa', 'woe', 'benar', 'nyepong', 'kontol', 'kuasa']",seru ganyang fufufafa woe benar nyepong kontol kuasa
Tue Sep 17 23:37:41 +0000 2024,Ni orang jelek banget Kata fufufafa,"Jakarta Pusat, DKI Jakarta",['@BudiBukanIntel'],"['Ni', 'orang', 'jelek', 'banget', 'fufufafa']","['ni', 'orang', 'jelek', 'banget', 'fufufafa']",ni orang jelek banget fufufafa
Tue Sep 17 23:29:53 +0000 2024,Ikut HRS lah GANYANG FUFUFAFA berani teriak bgtu Mana berani partai Munafikun teriak bgtu,,"['@choliqnur', '@PKSejahtera']","['HRS', 'GANYANG', 'FUFUFAFA', 'berani', 'teriak', 'bgtu', 'berani', 'partai', 'Munafikun', 'teriak', 'bgtu']","['hrs', 'ganyang', 'fufufafa', 'berani', 'teriak', 'bgtu', 'berani', 'partai', 'munafikun', 'teriak', 'bgtu']",hrs ganyang fufufafa berani teriak bgtu berani partai munafikun teriak bgtu
Tue Sep 17 23:29:07 +0000 2024,Sebenarnya Prabowo Tau Fufufafa itu yg Kelola Gibran tp msh Menghormati Raja Jawa yg Bentar lg Lengser Ga mungkin jg Prabowo kalah Paham sama Netizen MENHAN Di nilai dr aja msh Baper aplgi Cuitan Fufufafa yg PARAH,,"['@DokterTifa', '@prabowo', '@puanmaharani_ri']","['Prabowo', 'Tau', 'Fufufafa', 'yg', 'Kelola', 'Gibran', 'tp', 'msh', 'Menghormati', 'Raja', 'Jawa', 'yg', 'Bentar', 'lg', 'Lengser', 'Ga', 'jg', 'Prabowo', 'kalah', 'Paham', 'Netizen', 'MENHAN', 'nilai', 'dr', 'aja', 'msh', 'Baper', 'aplgi', 'Cuitan', 'Fufufafa', 'yg', 'PARAH']","['prabowo', 'tau', 'fufufafa', 'yg', 'kelola', 'gibran', 'tp', 'msh', 'hormat', 'raja', 'jawa', 'yg', 'bentar', 'lg', 'lengser', 'ga', 'jg', 'prabowo', 'kalah', 'paham', 'netizen', 'menhan', 'nilai', 'dr', 'aja', 'msh', 'baper', 'aplgi', 'cuit', 'fufufafa', 'yg', 'parah']",prabowo tau fufufafa yg kelola gibran tp msh hormat raja jawa yg bentar lg lengser ga jg prabowo kalah paham netizen menhan nilai dr aja msh baper aplgi cuit fufufafa yg parah
Tue Sep 17 23:28:33 +0000 2024,RESULT OREGON gt SEPTEMBER SAH gt SHIO gt Kuda Selamat untuk member yang JP reelsviral plglipp jakartakeras trending trendingreels trendingnow Yupitoto,,[],"['RESULT', 'OREGON', 'gt', 'SEPTEMBER', 'SAH', 'gt', 'SHIO', 'gt', 'Kuda', 'Selamat', 'member', 'JP', 'reelsviral', 'plglipp', 'jakartakeras', 'trending', 'trendingreels', 'trendingnow', 'Yupitoto']","['result', 'oregon', 'gt', 'september', 'sah', 'gt', 'shio', 'gt', 'kuda', 'selamat', 'member', 'jp', 'reelsviral', 'plglipp', 'jakartakeras', 'trending', 'trendingreels', 'trendingnow', 'yupitoto']",result oregon gt september sah gt shio gt kuda selamat member jp reelsviral plglipp jakartakeras trending trendingreels trendingnow yupitoto
Tue Sep 17 23:28:14 +0000 2024,Kali ini aku setuju sama fufufafa,,['@andikamalreza'],"['Kali', 'setuju', 'fufufafa']","['kali', 'tuju', 'fufufafa']",kali tuju fufufafa
Tue Sep 17 23:27:47 +0000 2024,Dia merasa mungkin itu faktajadi ga ada yg salah dengan statemen FUFUFAFA Mkmkmkmk,"Bandung, Jawa Barat","['@AwaYaAwa20670', '@geloraco']","['faktajadi', 'ga', 'yg', 'salah', 'statemen', 'FUFUFAFA', 'Mkmkmkmk']","['faktajadi', 'ga', 'yg', 'salah', 'statemen', 'fufufafa', 'mkmkmkmk']",faktajadi ga yg salah statemen fufufafa mkmkmkmk
Tue Sep 17 23:27:42 +0000 2024,Aku nunggu emak tanya fufufafa ke aku Daripada aku yg mulai duluan dan dimentahin lagi,Masih di dunia.,[],"['nunggu', 'emak', 'fufufafa', 'yg', 'duluan', 'dimentahin']","['nunggu', 'emak', 'fufufafa', 'yg', 'duluan', 'dimentahin']",nunggu emak fufufafa yg duluan dimentahin
Tue Sep 17 23:27:34 +0000 2024,Banyak makan anjing sensu makanya kayak gitu kali si fufufafa,NANGROE ACEH DARUSSALAM🇹🇷,"['@geloraco', '@gueEnds']","['makan', 'anjing', 'sensu', 'kayak', 'gitu', 'kali', 'si', 'fufufafa']","['makan', 'anjing', 'sensu', 'kayak', 'gitu', 'kali', 'si', 'fufufafa']",makan anjing sensu kayak gitu kali si fufufafa
Tue Sep 17 23:27:24 +0000 2024,Kalo gitu kita up trs fufufafa biar mendunia Biar mendunia pula si biji,,['@CakKhum'],"['Kalo', 'gitu', 'up', 'trs', 'fufufafa', 'biar', 'mendunia', 'Biar', 'mendunia', 'si', 'biji']","['kalo', 'gitu', 'up', 'trs', 'fufufafa', 'biar', 'dunia', 'biar', 'dunia', 'si', 'biji']",kalo gitu up trs fufufafa biar dunia biar dunia si biji
Tue Sep 17 23:26:16 +0000 2024,Hanya untuk orangorang yang mau berfikir,"SUMATRA, INA / The Netherlands","['@AishaRhisa80245', '@wallstreet_id', '@Ganda_waras', '@fufu__fafa']","['orangorang', 'berfikir']","['orangorang', 'berfikir']",orangorang berfikir
Tue Sep 17 23:25:26 +0000 2024,Ayo buzzer kerja lebih keras lagi cebokin fufufafa,,"['@mas_fufupaha', '@abu_waras', '@JimlyAs']","['Ayo', 'buzzer', 'kerja', 'keras', 'cebokin', 'fufufafa']","['ayo', 'buzzer', 'kerja', 'keras', 'cebokin', 'fufufafa']",ayo buzzer kerja keras cebokin fufufafa
Tue Sep 17 23:25:17 +0000 2024,Request fufufafa turun jabatan bisa ga,Ten to ten.,['@arthdzu'],"['Request', 'fufufafa', 'turun', 'jabatan', 'ga']","['request', 'fufufafa', 'turun', 'jabat', 'ga']",request fufufafa turun jabat ga
Tue Sep 17 23:24:36 +0000 2024,Fufufafa itu siapa langsung blng nama nya,Indonesia,['@Srik4ndiMuslim2'],"['Fufufafa', 'langsung', 'blng', 'nama', 'nya']","['fufufafa', 'langsung', 'blng', 'nama', 'nya']",fufufafa langsung blng nama nya
Tue Sep 17 23:23:31 +0000 2024,Apa hubungan fufufafa SM Andika Lu tu hanya menciptakan euforia dlm kepala Lo sendirimove on brookk elu tuh udah gede,,"['@seruanhl', '@Arie_Kriting']","['hubungan', 'fufufafa', 'SM', 'Andika', 'Lu', 'tu', 'menciptakan', 'euforia', 'dlm', 'kepala', 'Lo', 'sendirimove', 'on', 'brookk', 'elu', 'tuh', 'udah', 'gede']","['hubung', 'fufufafa', 'sm', 'andika', 'lu', 'tu', 'cipta', 'euforia', 'dlm', 'kepala', 'lo', 'sendirimove', 'on', 'brookk', 'elu', 'tuh', 'udah', 'gede']",hubung fufufafa sm andika lu tu cipta euforia dlm kepala lo sendirimove on brookk elu tuh udah gede
Tue Sep 17 23:23:17 +0000 2024,Oh makanya lantang lupakan fufufafa,,['@MichelAdam7__'],"['Oh', 'lantang', 'lupakan', 'fufufafa']","['oh', 'lantang', 'lupa', 'fufufafa']",oh lantang lupa fufufafa
Tue Sep 17 23:22:59 +0000 2024,Dilema partai dakwah ga boleh nyerang orang fufufafa hrs tabayyun dulu biar aman rencana masuk kabinet,,['@BangPino__'],"['Dilema', 'partai', 'dakwah', 'ga', 'nyerang', 'orang', 'fufufafa', 'hrs', 'tabayyun', 'biar', 'aman', 'rencana', 'masuk', 'kabinet']","['dilema', 'partai', 'dakwah', 'ga', 'nyerang', 'orang', 'fufufafa', 'hrs', 'tabayyun', 'biar', 'aman', 'rencana', 'masuk', 'kabinet']",dilema partai dakwah ga nyerang orang fufufafa hrs tabayyun biar aman rencana masuk kabinet
