created_at,full_text,location,mentions,tokens,stemmed_tokens,clean_text
Tue Sep 17 20:37:43 +0000 2024,PREDIKSI TOGEL OREGON HARI RABU TANGGAL SEPTEMBER BS BS SNPER BB SNPER BB SNPER BB gestunbet fyp prediksitogel puncak togelonline prediksimbahgotel fufufafa viralvideo labubu,"Bali, Denpasar",[],"['PREDIKSI', 'TOGEL', 'OREGON', 'RABU', 'TANGGAL', 'SEPTEMBER', 'BS', 'BS', 'SNPER', 'BB', 'SNPER', 'BB', 'SNPER', 'BB', 'gestunbet', 'fyp', 'prediksitogel', 'puncak', 'togelonline', 'prediksimbahgotel', 'fufufafa', 'viralvideo', 'labubu']","['prediksi', 'togel', 'oregon', 'rabu', 'tanggal', 'september', 'bs', 'bs', 'snper', 'bb', 'snper', 'bb', 'snper', 'bb', 'gestunbet', 'fyp', 'prediksitogel', 'puncak', 'togelonline', 'prediksimbahgotel', 'fufufafa', 'viralvideo', 'labubu']",prediksi togel oregon rabu tanggal september bs bs snper bb snper bb snper bb gestunbet fyp prediksitogel puncak togelonline prediksimbahgotel fufufafa viralvideo labubu
Tue Sep 17 20:34:54 +0000 2024,Fufufafa siap siap di gerus aliansi ultras madrid,,[],"['Fufufafa', 'gerus', 'aliansi', 'ultras', 'madrid']","['fufufafa', 'gerus', 'aliansi', 'ultras', 'madrid']",fufufafa gerus aliansi ultras madrid
Tue Sep 17 20:33:32 +0000 2024,Karena fufufafa ya Gibran Gibran anak Mulyono,"Kebumen, Indonesia",[],"['fufufafa', 'ya', 'Gibran', 'Gibran', 'anak', 'Mulyono']","['fufufafa', 'ya', 'gibran', 'gibran', 'anak', 'mulyono']",fufufafa ya gibran gibran anak mulyono
Tue Sep 17 20:32:24 +0000 2024,Ga pa yg penting bukan Abah yg jd,,['@fufu__fafa'],"['Ga', 'pa', 'yg', 'Abah', 'yg', 'jd']","['ga', 'pa', 'yg', 'abah', 'yg', 'jd']",ga pa yg abah yg jd
Tue Sep 17 20:32:22 +0000 2024,Kasus blok Medan dan kasus fufufafa kalau tidak selesai sampai Prabowo dilantikitu dua kasus ujian pertama bagi Prabowo selaku presiden Bisa gak menanggulanginya,P Brandan,[],"['blok', 'Medan', 'fufufafa', 'selesai', 'Prabowo', 'dilantikitu', 'ujian', 'Prabowo', 'presiden', 'gak', 'menanggulanginya']","['blok', 'medan', 'fufufafa', 'selesai', 'prabowo', 'dilantikitu', 'uji', 'prabowo', 'presiden', 'gak', 'tanggulang']",blok medan fufufafa selesai prabowo dilantikitu uji prabowo presiden gak tanggulang
Tue Sep 17 20:31:44 +0000 2024,fufufafa dobol juga mulutnya,,['@geloraco'],"['fufufafa', 'dobol', 'mulutnya']","['fufufafa', 'dobol', 'mulut']",fufufafa dobol mulut
Tue Sep 17 20:31:16 +0000 2024,Betul yg dibilang fufufafa,,['@andikamalreza'],"['yg', 'dibilang', 'fufufafa']","['yg', 'bilang', 'fufufafa']",yg bilang fufufafa
Tue Sep 17 20:30:18 +0000 2024,Yg disampaikan prof Jimly adalah cara Belio membenarkan fufufafa adlh Gibran disaat ybs selalu mengelak mnrt sy ini cara yg jenius dari prof Jimly,,['@msaid_didu'],"['Yg', 'prof', 'Jimly', 'Belio', 'membenarkan', 'fufufafa', 'adlh', 'Gibran', 'disaat', 'ybs', 'mengelak', 'mnrt', 'sy', 'yg', 'jenius', 'prof', 'Jimly']","['yg', 'prof', 'jimly', 'belio', 'benar', 'fufufafa', 'adlh', 'gibran', 'saat', 'ybs', 'elak', 'mnrt', 'sy', 'yg', 'jenius', 'prof', 'jimly']",yg prof jimly belio benar fufufafa adlh gibran saat ybs elak mnrt sy yg jenius prof jimly
Tue Sep 17 20:29:54 +0000 2024,Muke antum jelek kata fufufafa,,['@habiburokhman'],"['Muke', 'antum', 'jelek', 'fufufafa']","['muke', 'antum', 'jelek', 'fufufafa']",muke antum jelek fufufafa
Tue Sep 17 20:29:13 +0000 2024,fufufafa dobol juga mulutnya kayak boolwi tukang tipu akhlak anjing,,['@geloraco'],"['fufufafa', 'dobol', 'mulutnya', 'kayak', 'boolwi', 'tukang', 'tipu', 'akhlak', 'anjing']","['fufufafa', 'dobol', 'mulut', 'kayak', 'boolwi', 'tukang', 'tipu', 'akhlak', 'anjing']",fufufafa dobol mulut kayak boolwi tukang tipu akhlak anjing
Tue Sep 17 20:28:13 +0000 2024,Salah konteks brpbnr kaga sekolah nih bocah lu kan nyinyiran anak comika yg turun ke jln demo UU pemiluyg di anggap bersebrangan dgn pemerintah selalu di bilang anak Abahpaye Kaum Fufufafa member onlyfans,"Jakarta Timur, DKI Jakarta",['@tekarok007'],"['Salah', 'konteks', 'brpbnr', 'kaga', 'sekolah', 'nih', 'bocah', 'lu', 'nyinyiran', 'anak', 'comika', 'yg', 'turun', 'jln', 'demo', 'UU', 'pemiluyg', 'anggap', 'bersebrangan', 'dgn', 'pemerintah', 'bilang', 'anak', 'Abahpaye', 'Kaum', 'Fufufafa', 'member', 'onlyfans']","['salah', 'konteks', 'brpbnr', 'kaga', 'sekolah', 'nih', 'bocah', 'lu', 'nyinyir', 'anak', 'comika', 'yg', 'turun', 'jln', 'demo', 'uu', 'pemiluyg', 'anggap', 'bersebrangan', 'dgn', 'perintah', 'bilang', 'anak', 'abahpaye', 'kaum', 'fufufafa', 'member', 'onlyfans']",salah konteks brpbnr kaga sekolah nih bocah lu nyinyir anak comika yg turun jln demo uu pemiluyg anggap bersebrangan dgn perintah bilang anak abahpaye kaum fufufafa member onlyfans
Tue Sep 17 20:25:31 +0000 2024,lebih pilih bela fufufafa dari pada Nabi Allah Naudzubillah Yg pnting jabatan kan,SS 💗,"['@ekooktaviadi84', '@Piyusaja2', '@PKSejahtera', '@PKSejahtera']","['pilih', 'bela', 'fufufafa', 'Nabi', 'Allah', 'Naudzubillah', 'Yg', 'pnting', 'jabatan']","['pilih', 'bela', 'fufufafa', 'nabi', 'allah', 'naudzubillah', 'yg', 'pnting', 'jabat']",pilih bela fufufafa nabi allah naudzubillah yg pnting jabat
Tue Sep 17 20:24:56 +0000 2024,Bpk yg terhormat jangan emosi apalagi berkata kasar Siapapun pemilik biangkerok fufufafa hrs ditangkap buat pemerintah gk susah kok Adili dan hukum Klu blm ditangkap isu tetap ada Umpama dikambing hitamkan fufufafa isu ini akan selesai Rakyat gampang dibodohi,,"['@Rocky_Antonie', '@prabowo']","['Bpk', 'yg', 'terhormat', 'emosi', 'kasar', 'pemilik', 'biangkerok', 'fufufafa', 'hrs', 'ditangkap', 'pemerintah', 'gk', 'susah', 'Adili', 'hukum', 'Klu', 'blm', 'ditangkap', 'isu', 'Umpama', 'dikambing', 'hitamkan', 'fufufafa', 'isu', 'selesai', 'Rakyat', 'gampang', 'dibodohi']","['bpk', 'yg', 'hormat', 'emosi', 'kasar', 'milik', 'biangkerok', 'fufufafa', 'hrs', 'tangkap', 'perintah', 'gk', 'susah', 'adil', 'hukum', 'klu', 'blm', 'tangkap', 'isu', 'umpama', 'kambing', 'hitam', 'fufufafa', 'isu', 'selesai', 'rakyat', 'gampang', 'bodoh']",bpk yg hormat emosi kasar milik biangkerok fufufafa hrs tangkap perintah gk susah adil hukum klu blm tangkap isu umpama kambing hitam fufufafa isu selesai rakyat gampang bodoh
Tue Sep 17 20:24:48 +0000 2024,Masih hobi main mobil mobilan suruh ngurus negarasue,,['@fufu__fafa'],"['hobi', 'main', 'mobil', 'mobilan', 'suruh', 'ngurus', 'negarasue']","['hobi', 'main', 'mobil', 'mobil', 'suruh', 'ngurus', 'negarasue']",hobi main mobil mobil suruh ngurus negarasue
Tue Sep 17 20:19:25 +0000 2024,Berarti bener ya kalo Fufufafa bin Mulyono,,['@ferrykoto'],"['bener', 'ya', 'kalo', 'Fufufafa', 'bin', 'Mulyono']","['bener', 'ya', 'kalo', 'fufufafa', 'bin', 'mulyono']",bener ya kalo fufufafa bin mulyono
Tue Sep 17 20:02:35 +0000 2024,fufufafa terbaru,,['@telegramvc'],"['fufufafa', 'terbaru']","['fufufafa', 'baru']",fufufafa baru
Tue Sep 17 20:02:27 +0000 2024,TiktoT punya FufuFafa,,['@ohmydull'],"['TiktoT', 'FufuFafa']","['tiktot', 'fufufafa']",tiktot fufufafa
Tue Sep 17 20:00:49 +0000 2024,Semenjak tau sifat asliny dari kasus fufufafa,,['@denismalhotra'],"['Semenjak', 'tau', 'sifat', 'asliny', 'fufufafa']","['semenjak', 'tau', 'sifat', 'asliny', 'fufufafa']",semenjak tau sifat asliny fufufafa
Tue Sep 17 20:00:31 +0000 2024,Asyeekk buzer mulai dot job ini untuk membela fufufafa Bisa makan enak lagi kaya nya,,['@Kimberley_PS08'],"['Asyeekk', 'buzer', 'dot', 'job', 'membela', 'fufufafa', 'makan', 'enak', 'kaya', 'nya']","['asyeekk', 'buzer', 'dot', 'job', 'bela', 'fufufafa', 'makan', 'enak', 'kaya', 'nya']",asyeekk buzer dot job bela fufufafa makan enak kaya nya
Tue Sep 17 19:58:56 +0000 2024,Lucu ya diliatin buktinya koq ngatain kadrun Lawan dng bukti juga kalau fufufafa bukan gibran,,['@Rocky_Antonie'],"['Lucu', 'ya', 'diliatin', 'buktinya', 'koq', 'ngatain', 'kadrun', 'Lawan', 'dng', 'bukti', 'fufufafa', 'gibran']","['lucu', 'ya', 'diliatin', 'bukti', 'koq', 'ngatain', 'kadrun', 'lawan', 'dng', 'bukti', 'fufufafa', 'gibran']",lucu ya diliatin bukti koq ngatain kadrun lawan dng bukti fufufafa gibran
Tue Sep 17 19:57:18 +0000 2024,Fufufafa Sebentar lagi,,"['@abu_waras', '@JimlyAs']","['Fufufafa', 'Sebentar']","['fufufafa', 'sebentar']",fufufafa sebentar
Tue Sep 17 19:56:33 +0000 2024,sama seperti bapaknya fufufafa bapak ini juga bapak sayang anak yg akan melakukan segalanya demi anak meski harus mengorbankan bangsa dan negara,,['@Muslim_AntiPKI9'],"['bapaknya', 'fufufafa', 'sayang', 'anak', 'yg', 'anak', 'mengorbankan', 'bangsa', 'negara']","['bapak', 'fufufafa', 'sayang', 'anak', 'yg', 'anak', 'korban', 'bangsa', 'negara']",bapak fufufafa sayang anak yg anak korban bangsa negara
Tue Sep 17 19:56:12 +0000 2024,so you agree fufufafa kamseupay dan cabul,,[],"['so', 'you', 'agree', 'fufufafa', 'kamseupay', 'cabul']","['so', 'you', 'agree', 'fufufafa', 'kamseupay', 'cabul']",so you agree fufufafa kamseupay cabul
Tue Sep 17 19:55:54 +0000 2024,Nasib nasib Jabatan habis malah dirujak oleh rakyat,Malaysia,['@fufu__fafa'],"['Nasib', 'nasib', 'Jabatan', 'habis', 'dirujak', 'rakyat']","['nasib', 'nasib', 'jabat', 'habis', 'rujak', 'rakyat']",nasib nasib jabat habis rujak rakyat
Tue Sep 17 19:55:50 +0000 2024,Nebeng itu sekali jalan entah perginya atau pulangnya Nah ini pulang pergi nebeng wkwkwkwk pas ngejawab pasti pakek mic tersembunyi kayak si fufufafa,,['@BosPurwa'],"['Nebeng', 'jalan', 'perginya', 'pulangnya', 'pulang', 'pergi', 'nebeng', 'wkwkwkwk', 'pas', 'ngejawab', 'pakek', 'mic', 'tersembunyi', 'kayak', 'si', 'fufufafa']","['nebeng', 'jalan', 'pergi', 'pulang', 'pulang', 'pergi', 'nebeng', 'wkwkwkwk', 'pas', 'ngejawab', 'pakek', 'mic', 'sembunyi', 'kayak', 'si', 'fufufafa']",nebeng jalan pergi pulang pulang pergi nebeng wkwkwkwk pas ngejawab pakek mic sembunyi kayak si fufufafa
Tue Sep 17 19:55:37 +0000 2024,kalo ditanya yang tegas pak jangan cacicu fufufafa jadi pemimpin kok apa gk tauu kok tanya saya biar jadi contoh dulu buat keluarga,,"['@T0M5helby', '@jokowi']","['kalo', 'cacicu', 'fufufafa', 'pemimpin', 'gk', 'tauu', 'biar', 'contoh', 'keluarga']","['kalo', 'cacicu', 'fufufafa', 'pimpin', 'gk', 'tauu', 'biar', 'contoh', 'keluarga']",kalo cacicu fufufafa pimpin gk tauu biar contoh keluarga
Tue Sep 17 19:55:14 +0000 2024,Ini seruan kepada seluruh rakyat Indonesia siapa saja yang tak rela punya Wapres Fufufafa eh Gibran Kita laporkan dia supaya diproses Jika terbukti Gibran tak boleh dilantik jadi wapres Laporan juga mendesak agar Kapolri tidak melakukan pembiaran,,[],"['seruan', 'rakyat', 'Indonesia', 'rela', 'Wapres', 'Fufufafa', 'eh', 'Gibran', 'laporkan', 'diproses', 'terbukti', 'Gibran', 'dilantik', 'wapres', 'Laporan', 'mendesak', 'Kapolri', 'pembiaran']","['seru', 'rakyat', 'indonesia', 'rela', 'wapres', 'fufufafa', 'eh', 'gibran', 'lapor', 'proses', 'bukti', 'gibran', 'lantik', 'wapres', 'lapor', 'desak', 'kapolri', 'biar']",seru rakyat indonesia rela wapres fufufafa eh gibran lapor proses bukti gibran lantik wapres lapor desak kapolri biar
Tue Sep 17 19:53:29 +0000 2024,Salah yg pernah dihina fufufafa,Indonesia ,['@MurtadhaOne1'],"['Salah', 'yg', 'dihina', 'fufufafa']","['salah', 'yg', 'hina', 'fufufafa']",salah yg hina fufufafa
Tue Sep 17 19:51:42 +0000 2024,sebenarnya yg paling tepat itu adalah wapres fufufafa di ganti untuk indonesia lebih bergizi,,['@didilionrich'],"['yg', 'wapres', 'fufufafa', 'ganti', 'indonesia', 'bergizi']","['yg', 'wapres', 'fufufafa', 'ganti', 'indonesia', 'gizi']",yg wapres fufufafa ganti indonesia gizi
Tue Sep 17 19:51:37 +0000 2024,KITA LAPORIN GIBRAN KE POLISI YUK SUPAYA TAK BISA DILANTIK JADI WAPRES Ini seruan kepada seluruh rakyat Indonesia siapa saja yang tak rela punya Wapres Fufufafa eh Gibran Kita laporkan dia supaya diproses Jika terbukti Gibran tak boleh dilantik jadi wapres,,[],"['LAPORIN', 'GIBRAN', 'POLISI', 'YUK', 'DILANTIK', 'WAPRES', 'seruan', 'rakyat', 'Indonesia', 'rela', 'Wapres', 'Fufufafa', 'eh', 'Gibran', 'laporkan', 'diproses', 'terbukti', 'Gibran', 'dilantik', 'wapres']","['laporin', 'gibran', 'polisi', 'yuk', 'lantik', 'wapres', 'seru', 'rakyat', 'indonesia', 'rela', 'wapres', 'fufufafa', 'eh', 'gibran', 'lapor', 'proses', 'bukti', 'gibran', 'lantik', 'wapres']",laporin gibran polisi yuk lantik wapres seru rakyat indonesia rela wapres fufufafa eh gibran lapor proses bukti gibran lantik wapres
Tue Sep 17 19:51:37 +0000 2024,Solo punya fufufafa and the dinasty,"Michigan, USA",['@ohmydull'],"['Solo', 'fufufafa', 'and', 'the', 'dinasty']","['solo', 'fufufafa', 'and', 'the', 'dinasty']",solo fufufafa and the dinasty
Tue Sep 17 19:50:20 +0000 2024,Ini orangnya nelen batre x yah Tinggal jawab periksa akun fufufafa saja tambah dibela tambah terang benderang,,['@CakKhum'],"['orangnya', 'nelen', 'batre', 'x', 'yah', 'Tinggal', 'periksa', 'akun', 'fufufafa', 'dibela', 'terang', 'benderang']","['orang', 'nelen', 'batre', 'x', 'yah', 'tinggal', 'periksa', 'akun', 'fufufafa', 'bela', 'terang', 'benderang']",orang nelen batre x yah tinggal periksa akun fufufafa bela terang benderang
Tue Sep 17 19:49:02 +0000 2024,Bayangin aja ribuan pulau pulau dikeruk sedimen baca pasir laut nya ngga butuh lama paling tahunan tinggal nyisa pulau jawa aja wkwkwkwk dan indonesia brubah nama jadi Nusantara Bikini Bottom fufufafa fufufafa fufufafa,,['@CNNIndonesia'],"['Bayangin', 'aja', 'ribuan', 'pulau', 'pulau', 'dikeruk', 'sedimen', 'baca', 'pasir', 'laut', 'nya', 'ngga', 'butuh', 'tahunan', 'tinggal', 'nyisa', 'pulau', 'jawa', 'aja', 'wkwkwkwk', 'indonesia', 'brubah', 'nama', 'Nusantara', 'Bikini', 'Bottom', 'fufufafa', 'fufufafa', 'fufufafa']","['bayangin', 'aja', 'ribu', 'pulau', 'pulau', 'keruk', 'sedimen', 'baca', 'pasir', 'laut', 'nya', 'ngga', 'butuh', 'tahun', 'tinggal', 'nyisa', 'pulau', 'jawa', 'aja', 'wkwkwkwk', 'indonesia', 'brubah', 'nama', 'nusantara', 'bikini', 'bottom', 'fufufafa', 'fufufafa', 'fufufafa']",bayangin aja ribu pulau pulau keruk sedimen baca pasir laut nya ngga butuh tahun tinggal nyisa pulau jawa aja wkwkwkwk indonesia brubah nama nusantara bikini bottom fufufafa fufufafa fufufafa
Tue Sep 17 19:48:47 +0000 2024,berarti fufu fafa itu beneran anak Jokowi dong ya,,"['@ananto_aja', '@MichelAdam7__']","['fufu', 'fafa', 'beneran', 'anak', 'Jokowi', 'ya']","['fufu', 'fafa', 'beneran', 'anak', 'jokowi', 'ya']",fufu fafa beneran anak jokowi ya
Tue Sep 17 19:48:31 +0000 2024,Anda sadar nggak Menggunakan nama Paulus Sama julidnya dg fufufafa Coba usut aja Siapa tahu sudah di sunat dr ke pusatnya,,"['@Buahterlar42596', '@imamkurniadi153']","['sadar', 'nggak', 'nama', 'Paulus', 'julidnya', 'dg', 'fufufafa', 'Coba', 'usut', 'aja', 'sunat', 'dr', 'pusatnya']","['sadar', 'nggak', 'nama', 'paulus', 'julidnya', 'dg', 'fufufafa', 'coba', 'usut', 'aja', 'sunat', 'dr', 'pusat']",sadar nggak nama paulus julidnya dg fufufafa coba usut aja sunat dr pusat
Tue Sep 17 18:50:24 +0000 2024,Kami tdk mau punya wapres yg norak kekanakan n tak menghargai org dgn menghinakan bbrp org lain terutama jg Pak Prabowo n keluarga yg skrg justru menjadi Presiden terpilih Setidaknya Pak Prabowo tdk mengadukan akun Fufufafa namun akan tetap ingat dgn orang dibalik akun tsb,,['@CakKhum'],"['tdk', 'wapres', 'yg', 'norak', 'kekanakan', 'n', 'menghargai', 'org', 'dgn', 'menghinakan', 'bbrp', 'org', 'jg', 'Prabowo', 'n', 'keluarga', 'yg', 'skrg', 'Presiden', 'terpilih', 'Prabowo', 'tdk', 'mengadukan', 'akun', 'Fufufafa', 'dgn', 'orang', 'dibalik', 'akun', 'tsb']","['tdk', 'wapres', 'yg', 'norak', 'kana', 'n', 'harga', 'org', 'dgn', 'hina', 'bbrp', 'org', 'jg', 'prabowo', 'n', 'keluarga', 'yg', 'skrg', 'presiden', 'pilih', 'prabowo', 'tdk', 'adu', 'akun', 'fufufafa', 'dgn', 'orang', 'balik', 'akun', 'tsb']",tdk wapres yg norak kana n harga org dgn hina bbrp org jg prabowo n keluarga yg skrg presiden pilih prabowo tdk adu akun fufufafa dgn orang balik akun tsb
Tue Sep 17 18:46:44 +0000 2024,plenger bang,"Jombang, Indonesia",['@fufu__fafa'],"['plenger', 'bang']","['plenger', 'bang']",plenger bang
Tue Sep 17 18:46:36 +0000 2024,Akhir ini kok banyak naik twit ujaran kebencian ke Islam ya barengan sama naik nya twit pembelaan Fufufafa apakah sumber pendanaan buzzer nya sama,,['@Sentjoko'],"['twit', 'ujaran', 'kebencian', 'Islam', 'ya', 'barengan', 'nya', 'twit', 'pembelaan', 'Fufufafa', 'sumber', 'pendanaan', 'buzzer', 'nya']","['twit', 'ujar', 'benci', 'islam', 'ya', 'bareng', 'nya', 'twit', 'bela', 'fufufafa', 'sumber', 'dana', 'buzzer', 'nya']",twit ujar benci islam ya bareng nya twit bela fufufafa sumber dana buzzer nya
Tue Sep 17 18:46:28 +0000 2024,Polisi Tangkap Gangster Pelaku Pembacokan di Bojongsari Begini Kronologinya Pagii Fufufafa GanyangFufufafa,Cirebon,[],"['Polisi', 'Tangkap', 'Gangster', 'Pelaku', 'Pembacokan', 'Bojongsari', 'Kronologinya', 'Pagii', 'Fufufafa', 'GanyangFufufafa']","['polisi', 'tangkap', 'gangster', 'laku', 'baco', 'bojongsari', 'kronologi', 'pagi', 'fufufafa', 'ganyangfufufafa']",polisi tangkap gangster laku baco bojongsari kronologi pagi fufufafa ganyangfufufafa
Tue Sep 17 18:45:36 +0000 2024,Bngst ga sih pajak rakyat dipake utk ngawal ani ani simpenan fufufafa,,[],"['Bngst', 'ga', 'sih', 'pajak', 'rakyat', 'dipake', 'utk', 'ngawal', 'ani', 'ani', 'simpenan', 'fufufafa']","['bngst', 'ga', 'sih', 'pajak', 'rakyat', 'dipake', 'utk', 'ngawal', 'ani', 'ani', 'simpenan', 'fufufafa']",bngst ga sih pajak rakyat dipake utk ngawal ani ani simpenan fufufafa
Tue Sep 17 18:45:11 +0000 2024,Nyenengin satu keluarga Fufufafa yang susah satu negara,,['@BangPino__'],"['Nyenengin', 'keluarga', 'Fufufafa', 'susah', 'negara']","['nyenengin', 'keluarga', 'fufufafa', 'susah', 'negara']",nyenengin keluarga fufufafa susah negara
Tue Sep 17 18:43:55 +0000 2024,Trisambodo,,['@fufu__fafa'],['Trisambodo'],['trisambodo'],trisambodo
Tue Sep 17 18:43:47 +0000 2024,Loh katanya fufufafa bukan akun Mana yang bener nih Pak percaya yang mana pak,Tangeranggakure,"['@zy_zy_lestary', '@gibran_tweet', '@prabowo']","['Loh', 'fufufafa', 'akun', 'bener', 'nih', 'percaya']","['loh', 'fufufafa', 'akun', 'bener', 'nih', 'percaya']",loh fufufafa akun bener nih percaya
Tue Sep 17 18:41:06 +0000 2024,Kata si habuburahman Katanya tak masalah dengan umpatan akun fufufafa berarti akun fufufafa bener dong,,"['@DokterTifa', '@prabowo']","['si', 'habuburahman', 'umpatan', 'akun', 'fufufafa', 'akun', 'fufufafa', 'bener']","['si', 'habuburahman', 'umpat', 'akun', 'fufufafa', 'akun', 'fufufafa', 'bener']",si habuburahman umpat akun fufufafa akun fufufafa bener
Tue Sep 17 18:39:41 +0000 2024,buzzer goblok anak haram sepong aja fufufafa lo itu,,['@zy_zy_lestary'],"['buzzer', 'goblok', 'anak', 'haram', 'sepong', 'aja', 'fufufafa', 'lo']","['buzzer', 'goblok', 'anak', 'haram', 'sepong', 'aja', 'fufufafa', 'lo']",buzzer goblok anak haram sepong aja fufufafa lo
Tue Sep 17 18:39:17 +0000 2024,Pks pembela fufufafa,,"['@oyenesia', '@Alex_oposisi', '@BangPino__']","['Pks', 'pembela', 'fufufafa']","['pks', 'bela', 'fufufafa']",pks bela fufufafa
Tue Sep 17 18:36:25 +0000 2024,Fufufafa manusia muka tembok beleran,Indonesia,"['@abu_waras', '@JimlyAs']","['Fufufafa', 'manusia', 'muka', 'tembok', 'beleran']","['fufufafa', 'manusia', 'muka', 'tembok', 'beleran']",fufufafa manusia muka tembok beleran
Tue Sep 17 18:36:06 +0000 2024,Heboh akun politik fufufafa cek video lengkap,,['@lawjusticeco'],"['Heboh', 'akun', 'politik', 'fufufafa', 'cek', 'video', 'lengkap']","['heboh', 'akun', 'politik', 'fufufafa', 'cek', 'video', 'lengkap']",heboh akun politik fufufafa cek video lengkap
Tue Sep 17 18:35:50 +0000 2024,Pak mau dikirimin makanan fufufafa ga,,"['@ike_hw71', '@JimlyAs', '@JimlyAs']","['dikirimin', 'makanan', 'fufufafa', 'ga']","['dikirimin', 'makan', 'fufufafa', 'ga']",dikirimin makan fufufafa ga
Tue Sep 17 18:34:37 +0000 2024,Emang nya fufufafa udah professor IPK nya aja di bawah standar otak mesum kek gitu gimana mau bisa mimoin negara heran saya ma penyembah keluarga mulyono,Indonesia,['@msaid_didu'],"['Emang', 'nya', 'fufufafa', 'udah', 'professor', 'IPK', 'nya', 'aja', 'standar', 'otak', 'mesum', 'kek', 'gitu', 'gimana', 'mimoin', 'negara', 'heran', 'ma', 'penyembah', 'keluarga', 'mulyono']","['emang', 'nya', 'fufufafa', 'udah', 'professor', 'ipk', 'nya', 'aja', 'standar', 'otak', 'mesum', 'kek', 'gitu', 'gimana', 'mimoin', 'negara', 'heran', 'ma', 'sembah', 'keluarga', 'mulyono']",emang nya fufufafa udah professor ipk nya aja standar otak mesum kek gitu gimana mimoin negara heran ma sembah keluarga mulyono
Tue Sep 17 18:33:51 +0000 2024,mbak nadia ati buat bahan coli si gibran fufufafa GibranRakaBumingRaka fufufafa,,"['@MDH__SNA', '@nadiamulyabbb', '@gibran_tweet']","['mbak', 'nadia', 'ati', 'bahan', 'coli', 'si', 'gibran', 'fufufafa', 'GibranRakaBumingRaka', 'fufufafa']","['mbak', 'nadia', 'ati', 'bahan', 'coli', 'si', 'gibran', 'fufufafa', 'gibranrakabumingraka', 'fufufafa']",mbak nadia ati bahan coli si gibran fufufafa gibranrakabumingraka fufufafa
Tue Sep 17 18:33:13 +0000 2024,Solo pny fufufafa,,['@ohmydull'],"['Solo', 'pny', 'fufufafa']","['solo', 'pny', 'fufufafa']",solo pny fufufafa
Tue Sep 17 18:33:02 +0000 2024,ngeri bgt jadi fufufafa,queen lucinta luna 😘,['@widywenny'],"['ngeri', 'bgt', 'fufufafa']","['ngeri', 'bgt', 'fufufafa']",ngeri bgt fufufafa
Tue Sep 17 18:19:40 +0000 2024,Masa iyah pks mau serang fufufafa Pks dukung fufufafa,,['@andywindarto'],"['iyah', 'pks', 'serang', 'fufufafa', 'Pks', 'dukung', 'fufufafa']","['iyah', 'pks', 'serang', 'fufufafa', 'pks', 'dukung', 'fufufafa']",iyah pks serang fufufafa pks dukung fufufafa
Tue Sep 17 18:19:32 +0000 2024,Kalo kasus fufufafa amp gerombolan parpol kacung rezim firaun sudah tidak aneh menghianati aspirasi Rakyat Tpi klo sebuah parpol yg ngakunya Dakwah dan Agama sebagai tuntunannya tpi malah jdi penjilat kekuasaan Itukan menjijikan Makanya jgn Agama dijadikan topeng BubarkanPKS,,['@enjang_as'],"['Kalo', 'fufufafa', 'amp', 'gerombolan', 'parpol', 'kacung', 'rezim', 'firaun', 'aneh', 'menghianati', 'aspirasi', 'Rakyat', 'Tpi', 'klo', 'parpol', 'yg', 'ngakunya', 'Dakwah', 'Agama', 'tuntunannya', 'tpi', 'jdi', 'penjilat', 'kekuasaan', 'Itukan', 'menjijikan', 'jgn', 'Agama', 'dijadikan', 'topeng', 'BubarkanPKS']","['kalo', 'fufufafa', 'amp', 'gerombol', 'parpol', 'kacung', 'rezim', 'firaun', 'aneh', 'menghianati', 'aspirasi', 'rakyat', 'tpi', 'klo', 'parpol', 'yg', 'ngakunya', 'dakwah', 'agama', 'tuntun', 'tpi', 'jdi', 'jilat', 'kuasa', 'itu', 'jijik', 'jgn', 'agama', 'jadi', 'topeng', 'bubarkanpks']",kalo fufufafa amp gerombol parpol kacung rezim firaun aneh menghianati aspirasi rakyat tpi klo parpol yg ngakunya dakwah agama tuntun tpi jdi jilat kuasa itu jijik jgn agama jadi topeng bubarkanpks
Tue Sep 17 18:19:22 +0000 2024,WKWKWKWKWKKWKWKWK,,[],['WKWKWKWKWKKWKWKWK'],['wkwkwkwkwkkwkwkwk'],wkwkwkwkwkkwkwkwk
Tue Sep 17 18:19:16 +0000 2024,sudahlah tetap dukung klub UMKM mu itu wkwkwk,"Frankfurt on the Main, Germany",['@pacarhojlund'],"['dukung', 'klub', 'UMKM', 'mu', 'wkwkwk']","['dukung', 'klub', 'umkm', 'mu', 'wkwkwk']",dukung klub umkm mu wkwkwk
Tue Sep 17 18:16:23 +0000 2024,Jangan akun fufufafa juga nebeng gibran,,['@Metro_TV'],"['akun', 'fufufafa', 'nebeng', 'gibran']","['akun', 'fufufafa', 'nebeng', 'gibran']",akun fufufafa nebeng gibran
Tue Sep 17 18:16:15 +0000 2024,Cepak model tentara idf,Dibawah Langit Allah. SWT,['@fufu__fafa'],"['Cepak', 'model', 'tentara', 'idf']","['cepak', 'model', 'tentara', 'idf']",cepak model tentara idf
