conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1.83592E+18;Tue Sep 17 07:30:54 +0000 2024;2;@Aryprasetyo85 @HumorJonTampan @elsaday__ @03__nakula @__AnakKolong @_memoryusang @Muhayya__ @mikuroQ @JhonSitorus_18 Wuih Anak Presiden Temannya Punya jet Pribadi di ajak nebeng coba kalo anak Kang Mebel mana mungkin Ferguso...;1.83594E+18;;Aryprasetyo85;in;;0;0;0;https://x.com/Arieicad/status/1835944503343300820;1.61019E+18;Arieicad
1.83594E+18;Tue Sep 17 07:13:08 +0000 2024;1;@miebasoka1 Wkwkwk;1.83594E+18;;miebasoka1;in;PLUIT;0;0;0;https://x.com/KangManto123/status/1835940031024017681;9.47632E+17;KangManto123
1.83594E+18;Tue Sep 17 07:13:00 +0000 2024;1;@hansssiahaan Wkwkwk. Dia yang balikin uang 27M ke kejaksaan lho Kalau ga ketahuan di tilep ;1.83594E+18;;hansssiahaan;in;PLUIT;0;0;0;https://x.com/KangManto123/status/1835940000946614530;9.47632E+17;KangManto123
1.83585E+18;Tue Sep 17 07:12:15 +0000 2024;0;@vinosa @UusRsd @msaid_didu Jika anda kader bukan sekedar pendukung memang sdh tepat tdk nyerang fufufafa akan terlihat aneh jika berkoalisi tapi nyerang petinggi koalisi beda dg kami yg pendukung jika yg didukung sdh berbeda haluan ya kami tinggalkan ;1.83594E+18;;vinosa;in;;0;1;0;https://x.com/syafrialdasri38/status/1835939808990155172;1.60359E+18;syafrialdasri38
1.83594E+18;Tue Sep 17 07:12:11 +0000 2024;4;@IInayaturahmah Di korup ;1.83594E+18;;IInayaturahmah;in;PLUIT;0;1;0;https://x.com/KangManto123/status/1835939794809167983;9.47632E+17;KangManto123
1.83593E+18;Tue Sep 17 07:11:50 +0000 2024;9;@islah_bahrawi Dengan NebengTemen maka citra kesederhanaan keluarga Mulyono pun terjaga dg sempurna. Keluarga fufufafa ;1.83594E+18;;islah_bahrawi;in;Indonesia;0;7;0;https://x.com/Ari3Pras/status/1835939704551731576;4200694752;Ari3Pras
1.83587E+18;Tue Sep 17 07:11:38 +0000 2024;0;@mas_veel Udahlah masih ribut fufufafa era kekuasaan @jokowi berakhir 2bln lagi kita liat aja seberapa kuasanya jkw nanti setelah lengser apalagi setelah pdip bergabung pemrintah projo &amp;;;;;;;;;;;
1.83594E+18;Tue Sep 17 07:11:36 +0000 2024;0;Kok bisa ada yang lebih problematik dari Fufufafa??? Kek???;1.83594E+18;;;in;she/her;0;1;0;https://x.com/feliscxtus/status/1835939647266115590;1.05385E+18;feliscxtus
1.83585E+18;Tue Sep 17 07:11:36 +0000 2024;0;@rudih2024 @msaid_didu Ya elah. Nih: Fufufafa anjing bangsat bajingan setan biadab tolol idiot goblok jelek bau songong. Tuh udah. Gmn puas lu? Mau damai ga skrg?;1.83594E+18;;rudih2024;in;Jakarta Capital Region;0;0;0;https://x.com/cowokcakep1976/status/1835939646955799022;1.6465E+18;cowokcakep1976
1.83594E+18;Tue Sep 17 07:11:34 +0000 2024;0;Hehe akun baru pengen nyari tahu fufufafa;1.83594E+18;;;in;;0;0;0;https://x.com/JacyPatra41309/status/1835939636289618385;1.83594E+18;JacyPatra41309
1.83563E+18;Tue Sep 17 07:11:18 +0000 2024;0;@msaid_didu @PKSejahtera Harga diri itu hanya dimiliki oleh orang yang berakal sehat. Partisan PKS pasti berani ganyang fufufafa. Pentolan PKSnya masuk angin..;1.83594E+18;;msaid_didu;in;Jaksel;0;0;0;https://x.com/ansharullah_win/status/1835939571785499035;1.70717E+18;ansharullah_win
1.83594E+18;Tue Sep 17 07:11:17 +0000 2024;0;Ad yg kirim foto fufufafa di community metya ;1.83594E+18;;;in;hunting 💸;0;0;0;https://x.com/caxophony/status/1835939568492687584;370792559;caxophony
1.8358E+18;Tue Sep 17 07:11:17 +0000 2024;0;@detektive88 Wes basi nggk laku lagi skrg fufufafa;1.83594E+18;;detektive88;in;;0;0;0;https://x.com/Warnilisssn/status/1835939565514764531;1.60363E+18;Warnilisssn
1.83594E+18;Tue Sep 17 07:11:08 +0000 2024;0;Dari fufufafa sampai akun gadungan dibuat untuk memecah belah prabowo dan Gibran. Tp sejauh ini keliatannya ttp aman tuh masih pada tetep Fokus Kerja https://t.co/aBeCuRli1U;1.83594E+18;https://pbs.twimg.com/media/GXqRQ2jbEAAs1bh.jpg;;in;;0;0;0;https://x.com/crejpy/status/1835939530983285213;2755620339;crejpy
1.8359E+18;Tue Sep 17 07:11:03 +0000 2024;0;@NenkMonica Sejarah akan mencatat kecelakaan demokrasi di masa kelam yang menghasilkan seorang Wapres yang tidak layak sama sekali. Selain anak haram konstitusi kecerdwsaannya juga dibawah rata². Kita tidak akan mengakui si Fufufafa sbg Wapres. cc: @alis;1.83594E+18;;NenkMonica;in;UK, Fr, Ger, JP, USA, Aus.;0;0;0;https://x.com/Nicke9662734599/status/1835939507964879018;1.70437E+18;Nicke9662734599
1.83594E+18;Tue Sep 17 07:11:03 +0000 2024;0;Nah ini calon pemimpin yg top mereka Fokus Kerja daripada memikirkan hal hal fitnaah seperti kaskus fufufafa yg membuat masyarakat salah paham https://t.co/cwZMeHLihk;1.83594E+18;https://pbs.twimg.com/media/GXqRPmTWQAAZmXu.jpg;;in;Indonesia;0;0;0;https://x.com/CarnesApri6283/status/1835939507201356133;1.70064E+18;CarnesApri6283
1.83594E+18;Tue Sep 17 07:11:01 +0000 2024;0;Habis fufufafa terbitlah https://t.co/j5x5HikNny hadeehhh ada-ada aja yaa ulah orang.. cuekin aja ah mendingan tetep Fokus Kerja https://t.co/JoNmrSfVYr;1.83594E+18;https://pbs.twimg.com/media/GXqRO_qbUAATsQg.jpg;;in;;0;0;0;https://x.com/mejllow/status/1835939499299545095;2755683046;mejllow
1.83594E+18;Tue Sep 17 07:04:02 +0000 2024;0;Fufufafa dan https://t.co/5yZtCLThEl modus fitnah untuk retakin Prabowo-Gibran. Fokus Kerja https://t.co/aSFwLpRwna;1.83594E+18;https://pbs.twimg.com/media/GXqPpFSa4AApE8Z.jpg;;in;;0;0;0;https://x.com/syamsulkamal333/status/1835937741504397345;1.81575E+18;syamsulkamal333
1.83594E+18;Tue Sep 17 07:03:59 +0000 2024;0;Fitnah lewat jalur kaskus fufufafa buat retakin Prabowo-Gibran? ga mempan bro! Fokus Kerja https://t.co/XJ2pPZVuxy;1.83594E+18;https://pbs.twimg.com/media/GXqPoVzbwAAh97r.jpg;;in;;0;0;0;https://x.com/syamsulkamal333/status/1835937729282220220;1.81575E+18;syamsulkamal333
1.83571E+18;Tue Sep 17 07:03:58 +0000 2024;0;@intinyadeh Fufufafa gak bisa pamer Mandalika lg dong... Tikarnya digulung nih... #hahaha;1.83594E+18;;intinyadeh;in;;0;0;0;https://x.com/TriadeAmarullo2/status/1835937724152631739;1.60379E+18;TriadeAmarullo2
1.83594E+18;Tue Sep 17 07:03:56 +0000 2024;0;Kemarin fufufafa terus bikin akun gadungan. besok apalagi??!!! Fokus Kerja https://t.co/HxtVCf5epf;1.83594E+18;https://pbs.twimg.com/media/GXqPncuaIAAfHLP.jpg;;in;;0;0;0;https://x.com/syamsulkamal333/status/1835937716040548631;1.81575E+18;syamsulkamal333
1.83594E+18;Tue Sep 17 07:03:50 +0000 2024;0;o ooow ternyata ada fitnah jalir kaskus fufufafa nih buat memecah belah pak prabowo dan mas gibran . padahal beliau skrng terus Fokus Kerja looh https://t.co/0jNjBOmeh9;1.83594E+18;https://pbs.twimg.com/media/GXqPmHCbcAA02lo.jpg;;in;;0;0;0;https://x.com/Abriella253/status/1835937690833055954;7.88991E+17;Abriella253
1.83554E+18;Tue Sep 17 07:03:34 +0000 2024;0;@yusuf_dumdum Biar polemik cepat selesai Gibran berani ga Sumpah pocong bahwa dia ga pernah punya akun fufufafa Kaskus?;1.83594E+18;;yusuf_dumdum;in;Losarang - Indramayu;0;0;0;https://x.com/hady_juara/status/1835937623405457852;87245182;hady_juara
1.83594E+18;Tue Sep 17 07:03:25 +0000 2024;0;Fufufafa dan https://t.co/JTximPX98P modus fitnah untuk retakin Prabowo-Gibran. Fokus Kerja https://t.co/Bi2yUd0x6D;1.83594E+18;https://pbs.twimg.com/media/GXqPgEWbcAANvDx.jpg;;in;;0;0;0;https://x.com/afaisalkbar/status/1835937587099517241;1.81494E+18;afaisalkbar
1.83594E+18;Tue Sep 17 07:03:22 +0000 2024;0;Kemarin fufufafa terus bikin akun gadungan. besok apalagi??!!! Fokus Kerja https://t.co/eXF8L4DXWo;1.83594E+18;https://pbs.twimg.com/media/GXqPfUdakAAwpoK.jpg;;in;;0;0;0;https://x.com/afaisalkbar/status/1835937574176858205;1.81494E+18;afaisalkbar
1.83594E+18;Tue Sep 17 07:03:19 +0000 2024;0;Fitnah lewat jalur kaskus fufufafa buat retakin Prabowo-Gibran? ga mempan bro! Fokus Kerja https://t.co/aQiighSG4B;1.83594E+18;https://pbs.twimg.com/media/GXqPelrbMAATk7J.jpg;;in;;0;0;0;https://x.com/afaisalkbar/status/1835937561644339670;1.81494E+18;afaisalkbar
1.83593E+18;Tue Sep 17 07:03:17 +0000 2024;4;@mas_veel @Rocky_Antonie @tekarok007 @DivHumas_Polri @prabowo @gibran_tweet @habiburokhman @Uki23 Oke atas dasar apa akun fufufafa adalah kerjaan orang IT? Dan bagaimana cara kerjanya sampai bisa tercipta akun dengan jejak digital bejibun seperti itu? ;1.83594E+18;;mas_veel;in;Jogja;0;2;0;https://x.com/HILARlO/status/1835937552844595632;82550378;HILARlO
1.83594E+18;Tue Sep 17 07:03:14 +0000 2024;0;Tau gk Guys???...kaum gagal move on maksa banget akun kaskus Fufufafa jadiin bahan agar Pak Prabowo dan Mas Gibran tidak solid lagi padahal hal itu sudah di bantah oleh @kemkominfo itu bukan punya mas @gibran_tweet Fokus Kerja. Gaskeunnn indonesia Emas @fadlizon @Fahrihamzah;1.83594E+18;;;in;;0;0;0;https://x.com/afaisalkbar/status/1835937542820307243;1.81494E+18;afaisalkbar
1.83594E+18;Tue Sep 17 07:03:13 +0000 2024;0;Fokus Kerja jangan dengerin yh suka fitnah gak jelas salah satunya gunakan akun fufufafa https://t.co/mt4svqtOef;1.83594E+18;https://pbs.twimg.com/media/GXqPcDGbMAAx9u_.jpg;;in;𝐍𝐞𝐧𝐠 𝐉𝐢𝐡𝐲𝐨;0;0;0;https://x.com/seyjata/status/1835937537828987128;153256085;seyjata
1.83594E+18;Tue Sep 17 07:03:10 +0000 2024;0;Udah jelaskan akun Fufufafa ini bukan punya mas Gibran kenapa maksa banget kaum move on Fokus Kerja https://t.co/TRCgaF4bsC;1.83594E+18;https://pbs.twimg.com/media/GXqPZySaIAA22pI.jpg;;in;𝐍𝐞𝐧𝐠 𝐉𝐢𝐡𝐲𝐨;0;0;0;https://x.com/seyjata/status/1835937525388763465;153256085;seyjata
1.83594E+18;Tue Sep 17 07:02:44 +0000 2024;0;Fufufafa dan https://t.co/WSY7j16OEP modus fitnah untuk retakin Prabowo-Gibran. Fokus Kerja https://t.co/QY2zGW5tQo;1.83594E+18;https://pbs.twimg.com/media/GXqPWHUbEAAQ-IT.jpg;;in;;0;0;0;https://x.com/silvialaelani29/status/1835937415573479875;1.81575E+18;silvialaelani29
1.83594E+18;Tue Sep 17 07:02:40 +0000 2024;0;Kemarin fufufafa terus bikin akun gadungan. besok apalagi??!!! Fokus Kerja https://t.co/7F6P7hco4o;1.83594E+18;https://pbs.twimg.com/media/GXqPVLnb0AABUO-.jpg;;in;;0;0;0;https://x.com/silvialaelani29/status/1835937400029126985;1.81575E+18;silvialaelani29
1.83594E+18;Tue Sep 17 07:02:37 +0000 2024;0;Fitnah lewat jalur kaskus fufufafa buat retakin Prabowo-Gibran? ga mempan bro! Fokus Kerja https://t.co/btIuWblzuI;1.83594E+18;https://pbs.twimg.com/media/GXqPUZHa4AA3iYe.jpg;;in;;0;0;0;https://x.com/silvialaelani29/status/1835937387030999324;1.81575E+18;silvialaelani29
1.83565E+18;Tue Sep 17 07:02:35 +0000 2024;0;@andywindarto @msaid_didu Anjingnya fufufafa ya lu;1.83594E+18;;andywindarto;in;Indonesia;0;0;0;https://x.com/UcupEbenk/status/1835937375584698411;1.72621E+18;UcupEbenk
